#
#**************************************************************
#
#                       OGLE IV FIELDS
#
#**************************************************************
#
###############################################################
#
#   BULGE FIELDS
#
###############################################################
#
# Numbers given mark field centers.
# Width  (along RA)  of the fields are 01:23:00 degrees (maximal) 01:04:25 deg (minimal).
# Height (along DEC) of the fields are 01:14:10 degrees (maximal) 00:35:35 deg (minimal).
#
#  Name       RA[hr]      DEC[deg]       l[deg]       b[deg]     Epoch    RA_decimal   DEC_decimal    l_decimal     b_decimal  Prefix No
#
  BLG544     18:13:47    -23:41:35       7:41:20    -02:51:44   2000.0    18.2297222   -23.6930556     7.6890154    -2.8621661   BLG 544
  BLG545     18:13:47    -24:55:25       6:36:19    -03:26:53   2000.0    18.2297222   -24.9236111     6.6052914    -3.4481503   BLG 545
  BLG546     18:14:39    -32:18:25       0:09:11    -07:05:34   2000.0    18.2441667   -32.3069444     0.1529931    -7.0928000   BLG 546
  BLG547     18:14:52    -33:32:15     359:04:29    -07:42:13   2000.0    18.2477778   -33.5375000   359.0748283    -7.7036851   BLG 547
  BLG597     18:09:12    -34:09:10     357:58:19    -06:57:04   2000.0    18.1533333   -34.1527778   357.9719956    -6.9510371   BLG 597
  BLG566     18:34:55    -23:41:35       9:55:52    -07:09:14   2000.0    18.5819444   -23.6930556     9.9310083    -7.1537630   BLG 566
  BLG599     17:51:29    -35:59:55     354:34:21    -04:41:30   2000.0    17.8580556   -35.9986111   354.5724799    -4.6916011   BLG 599
  BLG600     17:51:23    -37:13:45     353:29:47    -05:17:46   2000.0    17.8563889   -37.2291667   353.4963571    -5.2960972   BLG 600
  BLG603     17:45:46    -34:09:10     355:33:36    -02:44:28   2000.0    17.7627778   -34.1527778   355.5598655    -2.7412018   BLG 603
  BLG604     17:45:36    -35:23:00     354:29:19    -03:21:02   2000.0    17.7600000   -35.3833333   354.4886825    -3.3505094   BLG 604
  BLG605     17:45:25    -36:36:50     353:24:54    -03:57:24   2000.0    17.7569444   -36.6138889   353.4149549    -3.9566805   BLG 605
  BLG606     17:45:13    -37:50:40     352:20:19    -04:33:35   2000.0    17.7536111   -37.8444444   352.3385427    -4.5596628   BLG 606
  BLG609     17:39:50    -34:46:05     354:23:35    -02:01:24   2000.0    17.6638889   -34.7680556   354.3931062    -2.0233159   BLG 609
  BLG610     17:39:35    -35:59:55     353:19:20    -02:38:00   2000.0    17.6597222   -35.9986111   353.3223247    -2.6333924   BLG 610
  BLG611     17:35:33    -27:09:41       0:19:42     02:49:27   2000.0    17.5925278   -27.1613889     0.3282211     2.8242016   BLG 611
  BLG612     17:30:00    -28:00:00     358:57:13     03:24:03   2000.0    17.5000000   -28.0000000   358.9535503     3.4007837   BLG 612
  BLG613     17:30:00    -29:13:50     357:55:26     02:43:29   2000.0    17.5000000   -29.2305556   357.9238366     2.7247690   BLG 613
  BLG614     17:24:27    -28:36:55     357:45:43     04:04:35   2000.0    17.4075000   -28.6152778   357.7618273     4.0765200   BLG 614
  BLG615     17:24:23    -29:50:45     356:43:56     03:23:57   2000.0    17.4063889   -29.8458333   356.7321329     3.3992264   BLG 615
  BLG616     17:16:00    -28:30:00     356:48:01     05:40:11   2000.0    17.2666667   -28.5000000   356.8003161     5.6697101   BLG 616
  BLG617     17:16:00    -29:43:50     355:47:24     04:57:39   2000.0    17.2666667   -29.7305556   355.7900469     4.9609117   BLG 617
  BLG619     17:25:00    -26:00:00       0:00:30     05:26:03   2000.0    17.4166667   -26.0000000     0.0082406     5.4341476   BLG 619
  BLG621     17:35:00    -22:13:50       4:25:56     05:34:38   2000.0    17.5833333   -22.2305556     4.4322689     5.5772516   BLG 621
  BLG622     17:35:00    -23:27:40       3:23:19     04:55:06   2000.0    17.5833333   -23.4611111     3.3886972     4.9182008   BLG 622
  BLG624     17:40:14    -21:36:55       5:36:09     04:52:29   2000.0    17.6705556   -21.6152778     5.6025105     4.8747018   BLG 624
  BLG625     17:40:17    -22:50:45       4:33:33     04:13:00   2000.0    17.6713889   -22.8458333     4.5592371     4.2168033   BLG 625
  BLG626     17:40:20    -24:04:35       3:31:03     03:33:28   2000.0    17.6722222   -24.0763889     3.5176194     3.5576905   BLG 626
  BLG629     17:45:23    -19:46:10       7:48:48     04:48:32   2000.0    17.7563889   -19.7694444     7.8134167     4.8089443   BLG 629
  BLG630     17:45:25    -21:00:00       6:45:39     04:09:57   2000.0    17.7569444   -21.0000000     6.7609608     4.1659380   BLG 630
  BLG631     17:45:30    -22:13:50       5:42:58     03:30:42   2000.0    17.7583333   -22.2305556     5.7161714     3.5117497   BLG 631
  BLG632     17:45:36    -23:27:40       4:40:29     02:51:12   2000.0    17.7600000   -23.4611111     4.6746556     2.8534199   BLG 632
  BLG633     17:45:42    -24:41:30       3:38:03     02:11:40   2000.0    17.7616667   -24.6916667     3.6341070     2.1945130   BLG 633
  BLG636     17:50:35    -20:23:05       7:54:43     03:26:43   2000.0    17.8430556   -20.3847222     7.9120800     3.4452364   BLG 636
  BLG637     17:50:39    -21:36:55       6:51:36     02:48:15   2000.0    17.8441667   -21.6152778     6.8600280     2.8041467   BLG 637
  BLG638     17:50:47    -22:50:45       5:49:01     02:08:57   2000.0    17.8463889   -22.8458333     5.8168472     2.1491376   BLG 638
  BLG639     17:50:56    -24:04:35       4:46:34     01:29:26   2000.0    17.8488889   -24.0763889     4.7762169     1.4906220   BLG 639
  BLG641     17:55:48    -21:00:00       7:59:57     02:04:54   2000.0    17.9300000   -21.0000000     7.9991676     2.0816159   BLG 641
  BLG642     17:55:55    -22:13:50       6:56:55     01:26:22   2000.0    17.9319444   -22.2305556     6.9486617     1.4393600   BLG 642
  BLG643     17:56:06    -23:27:40       5:54:22     00:47:02   2000.0    17.9350000   -23.4611111     5.9061972     0.7838148   BLG 643
  BLG644     17:57:30    -25:32:20       4:16:09    -00:32:05   2000.0    17.9583333   -25.5388889     4.2691105    -0.5347655   BLG 644
  BLG645     17:57:30    -26:46:10       3:12:14    -01:09:04   2000.0    17.9583333   -26.7694444     3.2038806    -1.1510518   BLG 645
  BLG646     18:02:55    -26:09:15       4:20:24    -01:53:53   2000.0    18.0486111   -26.1541667     4.3401059    -1.8981171   BLG 646
  BLG647     17:52:04    -26:09:15       3:07:14     00:12:33   2000.0    17.8677778   -26.1541667     3.1204295     0.2091970   BLG 647
  BLG648     17:46:36    -26:46:10       1:57:48     00:56:31   2000.0    17.7766667   -26.7694444     1.9633763     0.9418770   BLG 648
  BLG649     17:46:28    -28:00:00       0:53:47     00:19:41   2000.0    17.7744444   -28.0000000     0.8963115     0.3281454   BLG 649
  BLG650     17:46:22    -29:13:50     359:50:01    -00:17:33   2000.0    17.7727778   -29.2305556   359.8334993    -0.2924914   BLG 650
  BLG651     17:46:14    -30:27:40     358:46:02    -00:54:26   2000.0    17.7705556   -30.4611111   358.7671044    -0.9073412   BLG 651
  BLG652     17:41:10    -26:09:15       1:51:03     02:18:00   2000.0    17.6861111   -26.1541667     1.8507703     2.3000267   BLG 652
  BLG653     17:35:32    -28:36:55     359:06:01     02:02:39   2000.0    17.5922222   -28.6152778   359.1001658     2.0441803   BLG 653
  BLG654     17:35:36    -29:50:45     358:04:17     01:22:05   2000.0    17.5933333   -29.8458333   358.0713706     1.3681555   BLG 654
  BLG655     17:35:41    -31:04:35     357:02:42     00:41:20   2000.0    17.5947222   -31.0763889   357.0448873     0.6889844   BLG 655
  BLG657     18:19:50    -30:27:40       2:19:04    -07:13:18   2000.0    18.3305556   -30.4611111     2.3178999    -7.2216023   BLG 657
  BLG659     17:46:04    -31:41:30     357:41:49    -01:30:59   2000.0    17.7677778   -31.6916667   357.6970306    -1.5164434   BLG 659
  BLG660     17:45:56    -32:55:20     356:37:50    -02:07:54   2000.0    17.7655556   -32.9222222   356.6304681    -2.1318040   BLG 660
  BLG661     17:40:05    -33:32:15     355:27:50    -01:24:50   2000.0    17.6680556   -33.5375000   355.4638687    -1.4138475   BLG 661
  BLG662     17:30:00    -30:27:40     356:53:43     02:02:52   2000.0    17.5000000   -30.4611111   356.8952793     2.0478765   BLG 662
  BLG663     18:08:18    -24:18:30       6:32:48    -02:03:34   2000.0    18.1383333   -24.3083333     6.5466352    -2.0595391   BLG 663
  BLG664     18:02:55    -24:55:25       5:24:42    -01:17:33   2000.0    18.0486111   -24.9236111     5.4116732    -1.2923853   BLG 664
  BLG665     17:30:04    -25:19:15       1:12:33     04:51:21   2000.0    17.5011111   -25.3208333     1.2090904     4.8558924   BLG 665
  BLG666     17:30:03    -26:33:05       0:10:25     04:11:09   2000.0    17.5008333   -26.5513889     0.1737431     4.1858107   BLG 666
  BLG667     17:35:28    -25:56:10       1:21:08     03:29:58   2000.0    17.5911111   -25.9361111     1.3523175     3.4995508   BLG 667
  BLG668     17:29:57    -31:41:30     355:51:42     01:22:45   2000.0    17.4991667   -31.6916667   355.8617304     1.3792021   BLG 668
  BLG669     17:34:17    -32:55:20     355:19:55    -00:03:37   2000.0    17.5713889   -32.9222222   355.3320036    -0.0602454   BLG 669
  BLG670     17:33:57    -34:09:10     354:15:39    -00:40:12   2000.0    17.5658333   -34.1527778   354.2608060    -0.6699046   BLG 670
  BLG672     17:33:02    -36:37:00     352:05:27    -01:51:11   2000.0    17.5505556   -36.6166667   352.0908914    -1.8529358   BLG 672
  BLG675     17:40:58    -27:23:05       0:46:55     01:41:15   2000.0    17.6827778   -27.3847222     0.7819277     1.6874674   BLG 675
  BLG676     17:40:49    -28:36:55     359:43:12     01:03:51   2000.0    17.6802778   -28.6152778   359.7200799     1.0641668   BLG 676
  BLG677     17:40:37    -29:50:45     358:39:12     00:26:57   2000.0    17.6769444   -29.8458333   358.6533129     0.4490341   BLG 677
