#
#**************************************************************
#
#                       OGLE IV FIELDS
#
#**************************************************************
#
###############################################################
#
#   BULGE FIELDS
#
###############################################################
#
# Numbers given mark field centers.
# Width  (along RA)  of the fields are 01:23:00 degrees (maximal) 01:04:25 deg (minimal).
# Height (along DEC) of the fields are 01:14:10 degrees (maximal) 00:35:35 deg (minimal).
#
#  Name       RA[hr]      DEC[deg]       l[deg]       b[deg]     Epoch    RA_decimal   DEC_decimal    l_decimal     b_decimal  Prefix No
#
  BLG909     17:10:07    -34:02:15     351:33:14     03:27:26   2000.0    17.1686111   -34.0375000   351.5539622     3.4571573   BLG 909
  BLG910     17:10:02    -35:16:05     350:33:04     02:44:30   2000.0    17.1672222   -35.2680556   350.5510771     2.7418002   BLG 910
  BLG911     17:16:00    -22:20:50       1:53:42     09:10:58   2000.0    17.2666667   -22.3472222     1.8951184     9.1828254   BLG 911
  BLG912     17:16:00    -23:34:40       0:52:10     08:29:06   2000.0    17.2666667   -23.5777778     0.8693254     8.4850816   BLG 912
  BLG913     17:16:00    -24:48:30     359:50:50     07:47:05   2000.0    17.2666667   -24.8083333   359.8472600     7.7846674   BLG 913
  BLG914     17:16:00    -26:02:20     358:49:43     07:04:55   2000.0    17.2666667   -26.0388889   358.8286109     7.0818147   BLG 914
  BLG915     17:16:00    -27:16:10     357:48:47     06:22:36   2000.0    17.2666667   -27.2694444   357.8130669     6.3767531   BLG 915
  BLG916     17:16:00    -30:57:40     354:46:55     04:15:02   2000.0    17.2666667   -30.9611111   354.7819473     4.2505819   BLG 916
  BLG917     17:16:00    -32:11:30     353:46:33     03:32:20   2000.0    17.2666667   -32.1916667   353.7757056     3.5389435   BLG 917
  BLG918     17:16:00    -33:25:20     352:46:16     02:49:34   2000.0    17.2666667   -33.4222222   352.7710097     2.8262180   BLG 918
  BLG919     17:16:00    -34:39:10     351:46:03     02:06:45   2000.0    17.2666667   -34.6527778   351.7675477     2.1126261   BLG 919
  BLG976     17:16:00    -35:53:00     350:45:54     01:23:54   2000.0    17.2666667   -35.8833333   350.7650078     1.3983873   BLG 976
  BLG977     17:21:47    -32:48:25     353:58:15     02:11:13   2000.0    17.3630556   -32.8069444   353.9707175     2.1870755   BLG 977
  BLG978     17:21:52    -34:02:15     352:58:01     01:28:27   2000.0    17.3644444   -34.0375000   352.9670256     1.4741851   BLG 978
  BLG979     17:21:57    -35:16:05     351:57:49     00:45:41   2000.0    17.3658333   -35.2680556   351.9636889     0.7612529   BLG 979
  BLG980     17:21:00    -36:29:55     350:50:32     00:13:09   2000.0    17.3500000   -36.4986111   350.8422319     0.2192876   BLG 980
  BLG973     17:28:10    -33:32:15     354:06:57     00:40:18   2000.0    17.4694444   -33.5375000   354.1157842     0.6715406   BLG 973
  BLG974     17:27:40    -34:46:05     353:02:06     00:04:27   2000.0    17.4611111   -34.7680556   353.0350198     0.0740668   BLG 974
  BLG975     17:27:15    -35:59:55     351:57:55    -00:32:24   2000.0    17.4541667   -35.9986111   351.9652671    -0.5400486   BLG 975
  BLG920     17:24:18    -31:04:35     355:42:07     02:43:25   2000.0    17.4050000   -31.0763889   355.7020766     2.7234957   BLG 920
  BLG921     17:24:30    -27:23:05     358:47:29     04:45:19   2000.0    17.4083333   -27.3847222   358.7913739     4.7552829   BLG 921
  BLG922     17:24:45    -23:32:20       2:02:10     06:50:48   2000.0    17.4125000   -23.5388889     2.0362278     6.8465317   BLG 922
  BLG923     17:24:45    -24:46:10       1:00:19     06:09:53   2000.0    17.4125000   -24.7694444     1.0052144     6.1646687   BLG 923
  BLG969     17:20:20    -22:56:00       1:58:27     08:01:35   2000.0    17.3388889   -22.9333333     1.9742335     8.0264981   BLG 969
  BLG970     17:20:20    -24:09:50       0:56:46     07:20:12   2000.0    17.3388889   -24.1638889     0.9460672     7.3365401   BLG 970
  BLG971     17:20:20    -25:23:40     359:55:16     06:38:39   2000.0    17.3388889   -25.3944444   359.9210895     6.6442525   BLG 971
  BLG972     17:20:20    -26:37:30     358:53:56     05:56:60   2000.0    17.3388889   -26.6250000   358.8989973     5.9498636   BLG 972
  BLG497     17:20:10    -27:51:20     357:51:31     05:17:02   2000.0    17.3361111   -27.8555556   357.8585235     5.2839529   BLG 497
  BLG498     17:20:10    -29:05:10     356:50:29     04:35:08   2000.0    17.3361111   -29.0861111   356.8415107     4.5856557   BLG 498
  BLG499     17:20:10    -30:19:00     355:49:35     03:53:09   2000.0    17.3361111   -30.3166667   355.8264864     3.8859227   BLG 499
  BLG988     17:12:40    -37:13:45     349:16:53     01:09:18   2000.0    17.2111111   -37.2291667   349.2813577     1.1551249   BLG 988
  BLG989     17:12:40    -38:27:35     348:17:10     00:25:53   2000.0    17.2111111   -38.4597222   348.2861166     0.4312706   BLG 989
  BLG990     17:12:40    -39:41:25     347:17:28    -00:17:34   2000.0    17.2111111   -39.6902778   347.2910647    -0.2927137   BLG 990
  BLG991     17:12:20    -40:55:15     346:15:32    -00:57:57   2000.0    17.2055556   -40.9208333   346.2588188    -0.9657028   BLG 991
  BLG992     17:11:50    -42:09:05     345:12:33    -01:36:55   2000.0    17.1972222   -42.1513889   345.2092765    -1.6153583   BLG 992
  BLG924     17:19:00    -37:50:40     349:30:38    -00:13:27   2000.0    17.3166667   -37.8444444   349.5105472    -0.2241157   BLG 924
  BLG925     17:19:00    -39:04:30     348:30:11    -00:55:51   2000.0    17.3166667   -39.0750000   348.5031333    -0.9308689   BLG 925
  BLG926     17:19:00    -40:18:20     347:29:43    -01:38:14   2000.0    17.3166667   -40.3055556   347.4953155    -1.6373343   BLG 926
  BLG927     17:18:35    -41:32:10     346:26:31    -02:16:46   2000.0    17.3097222   -41.5361111   346.4420019    -2.2794396   BLG 927
  BLG986     17:18:10    -42:46:00     345:23:22    -02:55:24   2000.0    17.3027778   -42.7666667   345.3893758    -2.9232585   BLG 986
  BLG987     17:17:45    -43:59:50     344:20:14    -03:34:07   2000.0    17.2958333   -43.9972222   344.3372114    -3.5686335   BLG 987
  BLG928     17:26:35    -37:13:45     350:52:08    -01:06:54   2000.0    17.4430556   -37.2291667   350.8689268    -1.1149058   BLG 928
  BLG929     17:26:05    -38:27:35     349:47:33    -01:43:12   2000.0    17.4347222   -38.4597222   349.7926244    -1.7201350   BLG 929
  BLG930     17:25:45    -39:41:25     348:44:07    -02:21:15   2000.0    17.4291667   -39.6902778   348.7353369    -2.3541845   BLG 930
  BLG931     17:25:25    -40:55:15     347:40:42    -02:59:22   2000.0    17.4236111   -40.9208333   347.6783158    -2.9893624   BLG 931
  BLG981     17:25:05    -42:09:05     346:37:17    -03:37:32   2000.0    17.4180556   -42.1513889   346.6213324    -3.6255023   BLG 981
  BLG982     17:24:45    -43:22:55     345:33:51    -04:15:45   2000.0    17.4125000   -43.3819444   345.5641559    -4.2624371   BLG 982
  BLG983     17:24:25    -44:36:45     344:30:24    -04:53:60   2000.0    17.4069444   -44.6125000   344.5065533    -4.8999985   BLG 983
  BLG671     17:33:37    -35:23:00     353:11:25    -01:16:52   2000.0    17.5602778   -35.3833333   353.1903856    -1.2810478   BLG 671
  BLG673     17:32:38    -37:50:40     351:01:01    -02:27:17   2000.0    17.5438889   -37.8444444   351.0169761    -2.4547020   BLG 673
  BLG674     17:32:13    -39:04:30     349:56:22    -03:03:24   2000.0    17.5369444   -39.0750000   349.9393575    -3.0566594   BLG 674
  BLG932     17:31:48    -40:18:20     348:51:43    -03:39:36   2000.0    17.5300000   -40.3055556   348.8619895    -3.6599533   BLG 932
  BLG933     17:31:23    -41:32:10     347:47:05    -04:15:52   2000.0    17.5230556   -41.5361111   347.7846704    -4.2644345   BLG 933
  BLG984     17:31:30    -42:46:00     346:45:38    -04:57:08   2000.0    17.5250000   -42.7666667   346.7606353    -4.9520887   BLG 984
  BLG985     17:31:30    -43:59:50     345:43:21    -05:37:11   2000.0    17.5250000   -43.9972222   345.7225788    -5.6198191   BLG 985
  BLG681     17:38:48    -38:27:35     351:09:01    -03:48:28   2000.0    17.6466667   -38.4597222   351.1503387    -3.8076602   BLG 681
  BLG682     17:38:29    -39:41:25     350:04:19    -04:24:30   2000.0    17.6413889   -39.6902778   350.0718758    -4.4084441   BLG 682
  BLG934     17:38:13    -40:55:15     348:59:52    -05:01:03   2000.0    17.6369444   -40.9208333   348.9978003    -5.0175521   BLG 934
  BLG935     17:37:55    -42:09:05     347:55:10    -05:37:17   2000.0    17.6319444   -42.1513889   347.9194001    -5.6212722   BLG 935
  BLG607     17:45:01    -39:04:30     351:15:40    -05:09:44   2000.0    17.7502778   -39.0750000   351.2609891    -5.1621794   BLG 607
  BLG608     17:44:48    -40:18:20     350:10:50    -05:45:41   2000.0    17.7466667   -40.3055556   350.1804255    -5.7613251   BLG 608
  BLG936     17:44:42    -41:32:10     349:06:35    -06:22:42   2000.0    17.7450000   -41.5361111   349.1096324    -6.3784620   BLG 936
  BLG937     17:44:31    -42:46:00     348:01:43    -06:58:51   2000.0    17.7419444   -42.7666667   348.0287292    -6.9808648   BLG 937
  BLG601     17:51:17    -38:27:35     352:25:06    -05:53:57   2000.0    17.8547222   -38.4597222   352.4184547    -5.8992963   BLG 601
  BLG602     17:51:11    -39:41:25     351:20:19    -06:30:04   2000.0    17.8530556   -39.6902778   351.3385412    -6.5009981   BLG 602
  BLG938     17:51:18    -40:55:15     350:16:37    -07:08:11   2000.0    17.8550000   -40.9208333   350.2770047    -7.1364498   BLG 938
  BLG939     17:51:14    -42:09:05     349:11:42    -07:44:21   2000.0    17.8538889   -42.1513889   349.1950433    -7.7392855   BLG 939
  BLG940     17:51:11    -43:22:55     348:06:42    -08:20:33   2000.0    17.8530556   -43.3819444   348.1117455    -8.3424361   BLG 940
  BLG537     17:57:30    -37:50:40     353:33:60    -06:39:14   2000.0    17.9583333   -37.8444444   353.5666424    -6.6540140   BLG 537
  BLG538     17:57:30    -39:04:30     352:29:09    -07:15:24   2000.0    17.9583333   -39.0750000   352.4857924    -7.2566524   BLG 538
  BLG941     17:57:33    -40:18:20     351:24:24    -07:51:54   2000.0    17.9591667   -40.3055556   351.4067311    -7.8650576   BLG 941
  BLG942     17:57:47    -41:32:10     350:20:28    -08:30:02   2000.0    17.9630556   -41.5361111   350.3411157    -8.5004234   BLG 942
  BLG943     17:57:50    -42:46:00     349:15:17    -09:06:07   2000.0    17.9638889   -42.7666667   349.2547553    -9.1019342   BLG 943
  BLG540     18:03:36    -37:13:45     354:41:58    -07:24:49   2000.0    18.0600000   -37.2291667   354.6994108    -7.4135666   BLG 540
  BLG541     18:03:42    -38:27:35     353:37:04    -08:01:06   2000.0    18.0616667   -38.4597222   353.6177831    -8.0184134   BLG 541
  BLG944     18:03:48    -39:41:25     352:31:57    -08:37:11   2000.0    18.0633333   -39.6902778   352.5326166    -8.6198459   BLG 944
  BLG945     18:03:58    -40:55:15     351:26:59    -09:13:43   2000.0    18.0661111   -40.9208333   351.4496722    -9.2287327   BLG 945
  BLG946     18:04:19    -42:09:05     350:22:43    -09:51:48   2000.0    18.0719444   -42.1513889   350.3785313    -9.8633838   BLG 946
  BLG947     18:04:30    -43:22:55     349:17:16    -10:27:56   2000.0    18.0750000   -43.3819444   349.2877517   -10.4656013   BLG 947
  BLG598     18:09:22    -35:23:00     356:53:39    -07:33:40   2000.0    18.1561111   -35.3833333   356.8940797    -7.5610230   BLG 598
  BLG948     18:09:33    -36:36:50     355:48:51    -08:10:13   2000.0    18.1591667   -36.6138889   355.8141961    -8.1704041   BLG 948
  BLG949     18:09:45    -37:50:40     354:43:55    -08:46:44   2000.0    18.1625000   -37.8444444   354.7319953    -8.7787960   BLG 949
  BLG950     18:09:57    -39:04:30     353:38:44    -09:22:59   2000.0    18.1658333   -39.0750000   353.6456130    -9.3829358   BLG 950
  BLG951     18:10:10    -40:18:20     352:33:23    -09:59:07   2000.0    18.1694444   -40.3055556   352.5562769    -9.9853825   BLG 951
  BLG952     18:10:27    -41:32:10     351:28:05    -10:35:39   2000.0    18.1741667   -41.5361111   351.4679564   -10.5940655   BLG 952
  BLG953     18:10:55    -42:46:00     350:23:23    -11:13:38   2000.0    18.1819444   -42.7666667   350.3897805   -11.2272672   BLG 953
  BLG954     18:11:14    -43:59:50     349:17:35    -11:49:46   2000.0    18.1872222   -43.9972222   349.2929478   -11.8294295   BLG 954
  BLG955     18:11:35    -45:13:40     348:11:34    -12:25:50   2000.0    18.1930556   -45.2277778   348.1928237   -12.4305336   BLG 955
  BLG548     18:15:07    -34:46:05     357:59:46    -08:19:01   2000.0    18.2519444   -34.7680556   357.9961166    -8.3168170   BLG 548
  BLG956     18:15:22    -35:59:55     356:54:48    -08:55:32   2000.0    18.2561111   -35.9986111   356.9132958    -8.9256860   BLG 956
  BLG957     18:15:39    -37:13:45     355:49:45    -09:32:09   2000.0    18.2608333   -37.2291667   355.8291573    -9.5359317   BLG 957
  BLG958     18:15:57    -38:27:35     354:44:30    -10:08:39   2000.0    18.2658333   -38.4597222   354.7417530   -10.1441040   BLG 958
  BLG959     18:16:15    -39:41:25     353:38:57    -10:44:49   2000.0    18.2708333   -39.6902778   353.6492689   -10.7469132   BLG 959
  BLG960     18:16:40    -40:55:15     352:33:41    -11:21:50   2000.0    18.2777778   -40.9208333   352.5613778   -11.3638425   BLG 960
  BLG961     18:17:15    -42:09:05     351:28:52    -12:00:07   2000.0    18.2875000   -42.1513889   351.4811718   -12.0019623   BLG 961
  BLG962     18:17:50    -43:22:55     350:23:38    -12:37:56   2000.0    18.2972222   -43.3819444   350.3938207   -12.6322105   BLG 962
  BLG963     18:18:20    -44:36:45     349:17:33    -13:14:27   2000.0    18.3055556   -44.6125000   349.2925661   -13.2408038   BLG 963
  BLG712     17:52:07    -24:55:25       4:11:06     00:49:36   2000.0    17.8686111   -24.9236111     4.1849418     0.8267011   BLG 712
  BLG713     17:57:30    -24:18:30       5:20:03     00:04:54   2000.0    17.9583333   -24.3083333     5.3341265     0.0817055   BLG 713
  BLG658     18:20:08    -31:41:30       1:14:37    -07:50:29   2000.0    18.3355556   -31.6916667     1.2436742    -7.8414967   BLG 658
  BLG684     18:20:26    -32:55:20       0:09:56    -08:27:26   2000.0    18.3405556   -32.9222222     0.1654340    -8.4571726   BLG 684
  BLG685     18:20:44    -34:09:10     359:04:58    -09:04:06   2000.0    18.3455556   -34.1527778   359.0829123    -9.0683443   BLG 685
  BLG686     18:21:04    -35:23:00     357:59:56    -09:40:51   2000.0    18.3511111   -35.3833333   357.9989224    -9.6808048   BLG 686
  BLG687     18:25:31    -31:04:35       2:19:21    -08:35:19   2000.0    18.4252778   -31.0763889     2.3225871    -8.5886922   BLG 687
  BLG688     18:25:53    -32:18:25       1:14:34    -09:12:25   2000.0    18.4313889   -32.3069444     1.2428085    -9.2070241   BLG 688
  BLG689     18:26:16    -33:32:15       0:09:35    -09:49:24   2000.0    18.4377778   -33.5375000     0.1598054    -9.8233898   BLG 689
  BLG690     18:26:39    -34:46:05     359:04:18    -10:26:03   2000.0    18.4441667   -34.7680556   359.0716927   -10.4342887   BLG 690
  BLG691     18:30:14    -28:00:00       5:34:04    -08:07:58   2000.0    18.5038889   -28.0000000     5.5677654    -8.1329040   BLG 691
  BLG692     18:30:32    -29:13:50       4:28:58    -08:44:19   2000.0    18.5088889   -29.2305556     4.4827695    -8.7384880   BLG 692
  BLG693     18:30:50    -30:27:40       3:23:37    -09:20:22   2000.0    18.5138889   -30.4611111     3.3935120    -9.3395826   BLG 693
  BLG694     18:31:14    -31:41:30       2:18:33    -09:57:18   2000.0    18.5205556   -31.6916667     2.3091490    -9.9550450   BLG 694
  BLG695     18:31:40    -32:55:20       1:13:22    -10:34:17   2000.0    18.5277778   -32.9222222     1.2227089   -10.5713087   BLG 695
  BLG696     18:32:08    -34:09:10       0:08:01    -11:11:16   2000.0    18.5355556   -34.1527778     0.1337266   -11.1878316   BLG 696
  BLG697     18:32:36    -35:23:00     359:02:20    -11:47:52   2000.0    18.5433333   -35.3833333   359.0387935   -11.7978973   BLG 697
  BLG698     18:35:32    -27:23:05       6:39:01    -08:54:48   2000.0    18.5922222   -27.3847222     6.6502829    -8.9132312   BLG 698
  BLG699     18:35:46    -28:36:55       5:33:06    -09:29:50   2000.0    18.5961111   -28.6152778     5.5517940    -9.4972978   BLG 699
  BLG700     18:36:08    -29:50:45       4:27:42    -10:06:11   2000.0    18.6022222   -29.8458333     4.4616958   -10.1029313   BLG 700
  BLG701     18:36:31    -31:04:35       3:22:05    -10:42:23   2000.0    18.6086111   -31.0763889     3.3681371   -10.7064520   BLG 701
  BLG702     18:36:59    -32:18:25       2:16:37    -11:19:13   2000.0    18.6163889   -32.3069444     2.2768510   -11.3202037   BLG 702
  BLG703     18:37:30    -33:32:15       1:11:03    -11:56:13   2000.0    18.6250000   -33.5375000     1.1841032   -11.9370125   BLG 703
  BLG704     18:38:03    -34:46:05       0:05:16    -12:33:11   2000.0    18.6341667   -34.7680556     0.0878627   -12.5530832   BLG 704
  BLG760     18:03:24    -21:13:55       8:40:47     00:25:43   2000.0    18.0566667   -21.2319444     8.6797338     0.4286444   BLG 760
  BLG761     18:03:14    -22:27:45       7:35:22    -00:08:36   2000.0    18.0538889   -22.4625000     7.5895539    -0.1434461   BLG 761
  BLG716     18:03:00    -23:41:35       6:29:32    -00:42:10   2000.0    18.0500000   -23.6930556     6.4921289    -0.7028032   BLG 716
  BLG762     18:08:45    -19:25:10      10:52:26     00:13:10   2000.0    18.1458333   -19.4194444    10.8739185     0.2195058   BLG 762
  BLG763     18:08:39    -20:37:00       9:48:56    -00:20:26   2000.0    18.1441667   -20.6166667     9.8154779    -0.3405001   BLG 763
  BLG764     18:08:31    -21:50:50       8:43:27    -00:54:36   2000.0    18.1419444   -21.8472222     8.7241826    -0.9101126   BLG 764
  BLG765     18:13:52    -20:00:05      10:56:38    -01:06:58   2000.0    18.2311111   -20.0013889    10.9438098    -1.1161195   BLG 765
  BLG542     18:13:47    -21:13:55       9:51:12    -01:41:14   2000.0    18.2297222   -21.2319444     9.8533645    -1.6873443   BLG 542
  BLG656     18:19:02    -21:50:50       9:53:27    -03:03:14   2000.0    18.3172222   -21.8472222     9.8907519    -3.0539434   BLG 656
  BLG550     18:24:18    -22:27:45       9:54:57    -04:25:11   2000.0    18.4050000   -22.4625000     9.9158821    -4.4195848   BLG 550
  BLG551     18:24:24    -23:41:35       8:49:54    -05:00:31   2000.0    18.4066667   -23.6930556     8.8316030    -5.0087252   BLG 551
  BLG552     18:24:30    -24:55:25       7:44:43    -05:35:45   2000.0    18.4083333   -24.9236111     7.7451680    -5.5956964   BLG 552
  BLG553     18:24:36    -26:09:15       6:39:23    -06:10:49   2000.0    18.4100000   -26.1541667     6.6563415    -6.1802642   BLG 553
  BLG554     18:24:43    -27:23:05       5:33:60    -06:45:56   2000.0    18.4119444   -27.3847222     5.5665877    -6.7654865   BLG 554
  BLG555     18:24:58    -28:36:55       4:29:14    -07:22:26   2000.0    18.4161111   -28.6152778     4.4873000    -7.3738507   BLG 555
  BLG556     18:25:12    -29:50:45       3:24:10    -07:58:31   2000.0    18.4200000   -29.8458333     3.4027936    -7.9752589   BLG 556
  BLG559     18:29:36    -23:04:40       9:55:48    -05:47:15   2000.0    18.4933333   -23.0777778     9.9300670    -5.7874204   BLG 559
  BLG560     18:29:45    -24:18:30       8:50:35    -06:22:36   2000.0    18.4958333   -24.3083333     8.8431105    -6.3766961   BLG 560
  BLG561     18:29:54    -25:32:20       7:45:12    -06:57:47   2000.0    18.4983333   -25.5388889     7.7533478    -6.9631029   BLG 561
  BLG562     18:30:03    -26:46:10       6:39:38    -07:32:47   2000.0    18.5008333   -26.7694444     6.6605403    -7.5463931   BLG 562
  BLG567     18:35:07    -24:55:25       8:50:26    -07:44:34   2000.0    18.5852778   -24.9236111     8.8404311    -7.7428149   BLG 567
  BLG568     18:35:19    -26:09:15       7:44:47    -08:19:42   2000.0    18.5886111   -26.1541667     7.7463886    -8.3282835   BLG 568
  BLG766     18:09:07    -14:29:50      15:13:30     02:31:32   2000.0    18.1519444   -14.4972222    15.2250157     2.5254398   BLG 766
  BLG767     18:09:03    -15:43:40      14:08:21     01:56:42   2000.0    18.1508333   -15.7277778    14.1390547     1.9449069   BLG 767
  BLG768     18:08:57    -16:57:30      13:03:00     01:22:14   2000.0    18.1491667   -16.9583333    13.0500739     1.3704804   BLG 768
  BLG769     18:08:51    -18:11:20      11:57:42     00:47:43   2000.0    18.1475000   -18.1888889    11.9617647     0.7952839   BLG 769
  BLG770     18:14:14    -12:39:05      17:26:35     02:19:12   2000.0    18.2372222   -12.6513889    17.4430533     2.3200693   BLG 770
  BLG771     18:14:10    -13:52:55      16:21:11     01:44:50   2000.0    18.2361111   -13.8819444    16.3531814     1.7471687   BLG 771
  BLG772     18:14:08    -15:06:45      15:16:04     01:09:59   2000.0    18.2355556   -15.1125000    15.2679014     1.1664186   BLG 772
  BLG773     18:14:04    -16:20:35      14:10:45     00:35:32   2000.0    18.2344444   -16.3430556    14.1792894     0.5921911   BLG 773
  BLG774     18:14:00    -17:34:25      13:05:28     00:01:03   2000.0    18.2333333   -17.5736111    13.0909981     0.0175723   BLG 774
  BLG775     18:13:56    -18:48:15      12:00:10    -00:33:26   2000.0    18.2322222   -18.8041667    12.0028157    -0.5572432   BLG 775
  BLG776     18:19:16    -10:48:20      19:39:14     02:06:38   2000.0    18.3211111   -10.8055556    19.6540069     2.1104965   BLG 776
  BLG777     18:19:15    -12:02:10      18:33:60     01:32:00   2000.0    18.3208333   -12.0361111    18.5665704     1.5334601   BLG 777
  BLG778     18:19:13    -13:16:00      17:28:40     00:57:34   2000.0    18.3202778   -13.2666667    17.4778216     0.9594131   BLG 778
  BLG779     18:19:12    -14:29:50      16:23:29     00:22:53   2000.0    18.3200000   -14.4972222    16.3913837     0.3813926   BLG 779
  BLG780     18:19:10    -15:43:40      15:18:12    -00:11:36   2000.0    18.3194444   -15.7277778    15.3032168    -0.1932704   BLG 780
  BLG781     18:19:08    -16:57:30      14:12:54    -00:46:05   2000.0    18.3188889   -16.9583333    14.2150218    -0.7679493   BLG 781
  BLG782     18:19:06    -18:11:20      13:07:36    -01:20:33   2000.0    18.3183333   -18.1888889    13.1265833    -1.3424434   BLG 782
  BLG783     18:19:04    -19:23:10      12:04:02    -01:54:03   2000.0    18.3177778   -19.3861111    12.0670893    -1.9008193   BLG 783
  BLG784     18:19:02    -20:37:00      10:58:39    -02:28:28   2000.0    18.3172222   -20.6166667    10.9775396    -2.4743604   BLG 784
  BLG785     18:24:15    -10:11:25      20:46:22     01:19:04   2000.0    18.4041667   -10.1902778    20.7729079     1.3178267   BLG 785
  BLG786     18:24:15    -11:25:15      19:41:06     00:44:32   2000.0    18.4041667   -11.4208333    19.6850646     0.7422780   BLG 786
  BLG787     18:24:15    -12:39:05      18:35:51     00:09:59   2000.0    18.4041667   -12.6513889    18.5975045     0.1664618   BLG 787
  BLG788     18:24:15    -13:52:55      17:30:36    -00:24:34   2000.0    18.4041667   -13.8819444    17.5100079    -0.4094143   BLG 788
  BLG789     18:24:15    -15:06:45      16:25:20    -00:59:07   2000.0    18.4041667   -15.1125000    16.4223550    -0.9851430   BLG 789
  BLG569     18:24:16    -16:20:35      15:20:10    -01:33:51   2000.0    18.4044444   -16.3430556    15.3361958    -1.5640513   BLG 569
  BLG570     18:24:16    -17:34:25      14:14:51    -02:08:20   2000.0    18.4044444   -17.5736111    14.2475582    -2.1388402   BLG 570
  BLG571     18:24:16    -18:46:15      13:11:15    -02:41:50   2000.0    18.4044444   -18.7708333    13.1876289    -2.6973201   BLG 571
  BLG572     18:24:16    -20:00:05      12:05:50    -03:16:13   2000.0    18.4044444   -20.0013889    12.0971728    -3.2703861   BLG 572
  BLG549     18:24:16    -21:13:55      11:00:20    -03:50:32   2000.0    18.4044444   -21.2319444    11.0054709    -3.8422687   BLG 549
  BLG790     18:29:17    -12:02:10      19:42:53    -00:38:04   2000.0    18.4880556   -12.0361111    19.7146496    -0.6345476   BLG 790
  BLG574     18:29:18    -13:16:00      18:37:34    -01:12:32   2000.0    18.4883333   -13.2666667    18.6261734    -1.2088468   BLG 574
  BLG575     18:29:20    -14:29:50      17:32:21    -01:47:10   2000.0    18.4888889   -14.4972222    17.5390870    -1.7862486   BLG 575
  BLG576     18:29:20    -15:43:40      16:26:51    -02:21:21   2000.0    18.4888889   -15.7277778    16.4475626    -2.3558162   BLG 576
  BLG577     18:29:22    -16:57:30      15:21:32    -02:55:54   2000.0    18.4894444   -16.9583333    15.3588311    -2.9315996   BLG 577
  BLG578     18:29:24    -18:11:20      14:16:08    -03:30:22   2000.0    18.4900000   -18.1888889    14.2689309    -3.5062327   BLG 578
  BLG579     18:29:26    -19:23:10      13:12:26    -04:03:51   2000.0    18.4905556   -19.3861111    13.2073195    -4.0641800   BLG 579
  BLG557     18:29:28    -20:37:00      12:06:52    -04:38:09   2000.0    18.4911111   -20.6166667    12.1144627    -4.6359088   BLG 557
  BLG558     18:29:31    -21:50:50      11:01:18    -05:12:33   2000.0    18.4919444   -21.8472222    11.0215542    -5.2092841   BLG 558
  BLG581     18:34:17    -11:25:15      20:49:34    -01:26:08   2000.0    18.5713889   -11.4208333    20.8260040    -1.4356716   BLG 581
  BLG582     18:34:18    -12:39:05      19:44:05    -02:00:19   2000.0    18.5716667   -12.6513889    19.7347688    -2.0053843   BLG 582
  BLG583     18:34:21    -13:52:55      18:38:47    -02:34:53   2000.0    18.5725000   -13.8819444    18.6464733    -2.5815221   BLG 583
  BLG584     18:34:25    -15:06:45      17:33:32    -03:09:37   2000.0    18.5736111   -15.1125000    17.5589774    -3.1601903   BLG 584
  BLG585     18:34:25    -16:20:35      16:27:46    -03:43:24   2000.0    18.5736111   -16.3430556    16.4628571    -3.7233309   BLG 585
  BLG586     18:34:29    -17:34:25      15:22:21    -04:17:57   2000.0    18.5747222   -17.5736111    15.3725992    -4.2992526   BLG 586
  BLG587     18:34:33    -18:48:15      14:16:50    -04:52:24   2000.0    18.5758333   -18.8041667    14.2805948    -4.8734292   BLG 587
  BLG563     18:34:39    -20:00:05      13:13:12    -05:26:15   2000.0    18.5775000   -20.0013889    13.2200357    -5.4375241   BLG 563
  BLG564     18:34:42    -21:13:55      12:07:20    -06:00:15   2000.0    18.5783333   -21.2319444    12.1221259    -6.0040800   BLG 564
  BLG565     18:34:47    -22:27:45      11:01:31    -06:34:31   2000.0    18.5797222   -22.4625000    11.0253269    -6.5751506   BLG 565
  BLG589     18:39:18    -12:02:10      20:50:31    -02:48:33   2000.0    18.6550000   -12.0361111    20.8419757    -2.8090737   BLG 589
  BLG590     18:39:20    -13:16:00      19:44:56    -03:22:38   2000.0    18.6555556   -13.2666667    19.7488365    -3.3772892   BLG 590
  BLG591     18:39:25    -14:29:50      18:39:36    -03:57:18   2000.0    18.6569444   -14.4972222    18.6598911    -3.9549852   BLG 591
  BLG592     18:39:31    -15:43:40      17:34:16    -04:32:05   2000.0    18.6586111   -15.7277778    17.5711471    -4.5346321   BLG 592
  BLG593     18:39:31    -16:57:30      16:28:11    -05:05:28   2000.0    18.6586111   -16.9583333    16.4696857    -5.0910492   BLG 593
  BLG594     18:39:37    -18:11:20      15:22:37    -05:40:00   2000.0    18.6602778   -18.1888889    15.3770547    -5.6668045   BLG 594
  BLG595     18:39:43    -19:25:10      14:16:56    -06:14:25   2000.0    18.6619444   -19.4194444    14.2820926    -6.2402100   BLG 595
  BLG596     18:39:45    -20:39:00      13:10:39    -06:47:49   2000.0    18.6625000   -20.6500000    13.1775712    -6.7970711   BLG 596
  BLG750     18:39:57    -21:52:50      12:05:16    -07:23:09   2000.0    18.6658333   -21.8805556    12.0877291    -7.3859651   BLG 750
